emisor,periodo,ebitda,deuda_cp,deuda_lp,gastos_financieros,caja,ingresos,ebitda_imputado
ISAGEN,2022Q2,641597871.463,497603207.576,12537548787.731,277927827.717,188145184.503,1072715249.51,False
ISAGEN,2022Q3,749632503.038,758892669.818,12625968878.926,383329446.012,376280998.903,1187979425.2,False
ISAGEN,2022Q4,797311181.772,736513775.945,12321976096.707,405541864.746,309200445.391,1363603221.198,False
ISAGEN,2023Q1,888499070.026,833030608.347,12238443549.151,426573157.069,860465935.258,1347150772.221,False
ISAGEN,2023Q2,762141147.648,506588618.191,12271773645.651,467760850.813,232487176.032,1288627772.697,False
ISAGEN,2023Q3,621477333.751,775601679.011,11902952340.24,491573380.771,222785919.957,1326629461.35,False
ISAGEN,2023Q4,653526277.024,747995019.565,12356313253.227,484091522.781,220352378.389,1560954192.927,False
ISAGEN,2024Q1,662036392.774,1156085982.36,11947010642.85,465291664.787,225762797.748,1349620589.114,False
ISAGEN,2024Q2,457997071.291,1280948082.691,12631040975.262,453796958.529,318568477.283,1239180670.471,False
ISAGEN,2024Q3,817443948.718,787498580.666,12610806415.403,470287644.534,152653779.019,1581406297.089,False
ISAGEN,2024Q4,825604582.402,749153869.682,12690786193.43,451833001.576,447197055.71,1925493480.858,False
ISAGEN,2025Q1,880225847.582,465818561.672,13091082078.242,430075689.387,405756911.21,1425880545.999,False
ISAGEN,2025Q2,580281448.051,890965919.803,13644013092.091,488623622.257,111346682.365,1130676565.897,False
ISAGEN,2025Q3,737587935.212,864079748.279,13524416243.707,446629126.371,229542936.427,1290956857.592,False
ISAGEN,2025Q4,701447417.189,886284555.185,13281606088.925,473340448.45,173857066.077,1380008616.935,False
ISAGEN,2026Q1,590123400.41,863508327.891,14084219313.145,540238769.674,938597708.191,1167110709.85,False
ISAGEN,2026Q2,809332002.099,1172181989.138,13445289484.226,661133338.755,287142418.911,1510133214.21,False
